Gene.identifier	RefSeq.ID	Gene.Symbol	Entrez.Gene	Alternate.Gene.Symbols	Gene.Description	X	MouseGene
ENSG00000100519	NM_002806	PSMC6	5706	P44, p42, SUG2, CADP44, MGC12520	proteasome (prosome, macropain) 26S subunit, ATPase, 6 (PSMC6), mRNA.	G0/1 arrest	Psmc6
ENSG00000122257	NM_006910,NM_018703	RBBP6	5930	MY038, P2P-R, RBQ-1, DKFZp686P0638,DKFZp761B2423	retinoblastoma binding protein 6 (RBBP6), transcript variant 1, mRNA.	G0/1 arrest	Rbbp6
ENSG00000165672	NM_014098,NM_006793	PRDX3	10935	AOP1, MER5, AOP-1, SP-22, PRO1748,MGC24293	peroxiredoxin 3 (PRDX3), nuclear gene encoding mitochondrial protein, transcript variant 2, mRNA.	G0/1 arrest	Prdx3
ENSG00000197943	NM_002661	PLCG2	5336		phospholipase C, gamma 2 (phosphatidylinositol-specific) (PLCG2), mRNA.	G0/1 arrest	Plcg2
ENSG00000152767	NM_005766	FARP1	10160	CDEP, PLEKHC2, MGC87400	FERM, RhoGEF (ARHGEF) and pleckstrin domain protein 1 (chondrocyte-derived) (FARP1), transcript variant 1, mRNA.	G0/1 arrest	Farp1
ENSG00000196547	NM_006122	MAN2A2	4122	MANA2X	mannosidase, alpha, class 2A, member 2 (MAN2A2), mRNA.	G0/1 arrest	Man2a2
ENSG00000121067	NM_001007227	SPOP	8405	TEF2	speckle-type POZ protein (SPOP), transcript variant 3, mRNA.	G0/1 arrest	Spop
ENSG00000117751	NM_002713,NM_014110,NM_138558	PPP1R8	5511	ARD1, ARD-1, NIPP1, NIPP-1, PRO2047	protein phosphatase 1, regulatory (inhibitor) subunit 8 (PPP1R8), transcript variant 3, mRNA.	G0/1 arrest	Ppp1r8
ENSG00000179335	NM_003992,NM_001292	CLK3	1198	FLJ22858	CDC-like kinase 3 (CLK3), transcript variant phclk3, mRNA.	G0/1 arrest	Clk3
ENSG00000197579	NM_005802	TOPORS	10210	LUN, TP53BPL	topoisomerase I binding, arginine/serine-rich (TOPORS), mRNA.	G0/1 arrest	Topors
ENSG00000196235	NM_003169	SUPT5H	6829	SPT5, SPT5H	suppressor of Ty 5 homolog (S. cerevisiae) (SUPT5H), mRNA.	G0/1 arrest	Supt5
ENSG00000162496	NM_004753	DHRS3	9249	SDR1, RDH17, Rsdr1, retSDR1	dehydrogenase/reductase (SDR family) member 3 (DHRS3), mRNA.	G0/1 arrest	Dhrs3
ENSG00000006194	NM_005741	ZNF263	10127	FPM315	zinc finger protein 263 (ZNF263), mRNA.	G0/1 arrest	Zfp263
ENSG00000183508	NM_017709	FAM46C	54855	FLJ20202	family with sequence similarity 46, member C (FAM46C), mRNA.	G0/1 arrest	Fam46c
ENSG00000047410	NM_003292	TPR	7175		translocated promoter region (to activated MET oncogene) (TPR), mRNA.	G0/1 arrest	Tpr
ENSG00000146072	NM_014452	TNFRSF21	27242	DR6, BM-018, MGC31965	tumor necrosis factor receptor superfamily, member 21 (TNFRSF21), mRNA.	G0/1 arrest	Tnfrsf21
ENSG00000111371	NM_030674	SLC38A1	81539	ATA1, NAT2, SAT1, SNAT1	solute carrier family 38, member 1 (SLC38A1), mRNA.	G0/1 arrest	Slc38a1
ENSG00000162836	NM_016361	ACP6	51205	LPAP, ACPL1, PACPL1	acid phosphatase 6, lysophosphatidic (ACP6), mRNA.	G0/1 arrest	Acp6
ENSG00000176383	NM_030765	B3GNT4	79369	B3GN-T4, beta3Gn-T4	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 4 (B3GNT4), mRNA.	G0/1 arrest	B3gnt4
ENSG00000096717	NM_012238	SIRT1	23411	SIR2L1	sirtuin (silent mating type information regulation 2 homolog) 1 (S. cerevisiae) (SIRT1), mRNA.	G0/1 arrest	Sirt1
ENSG00000175334	NM_003860	BANF1	8815	BAF, BCRP1, D14S1460, MGC111161	barrier to autointegration factor 1 (BANF1), mRNA.	G0/1 arrest	Banf1
ENSG00000102081	NM_002024	FMR1	2332	FMRP, FRAXA, MGC87458	fragile X mental retardation 1 (FMR1), mRNA.	G0/1 arrest	Fmr1
ENSG00000154380	NM_018212,NM_001008493	ENAH	55740	MENA, NDPP1	enabled homolog (Drosophila) (ENAH), transcript variant 2, mRNA.	G0/1 arrest	Enah
ENSG00000095203	NM_018424	EPB41L4B	54566	DKFZp761N1814, EHM2, FLJ21596	erythrocyte membrane protein band 4.1 like 4B	G0/1 arrest	Epb41l4b
ENSG00000161955	NM_172089,NM_172088,NM_172087	TNFSF13	407977	TWE-PRIL, TNFSF12-TNFSF13	tumor necrosis factor (ligand) superfamily, member 12-member 13 (TNFSF12-TNFSF13), mRNA.	G0/1 arrest	Tnfsf13
ENSG00000105173	NM_001238	CCNE1	898	CCNE	cyclin E1 (CCNE1), transcript variant 1, mRNA.	G0/1 arrest	Ccne1
ENSG00000104450	NM_172218	SPAG1	6674	SP75, TPIS, HSD-3.8, FLJ32920	sperm associated antigen 1 (SPAG1), transcript variant 2, mRNA.	G0/1 arrest	Spag1
ENSG00000008324	NM_016305	SS18L2	51188	KIAA-iso	synovial sarcoma translocation gene on chromosome 18-like 2 (SS18L2), mRNA.	G0/1 arrest	Ss18l2
ENSG00000104671	NM_006571	DCTN6	10671	WS-3	dynactin 6 (DCTN6), mRNA.	G0/1 arrest	Dctn6
ENSG00000130741	NM_001415	EIF2S3	1968	EIF2, EIF2G, EIF2gamma	eukaryotic translation initiation factor 2, subunit 3 gamma, 52kDa (EIF2S3), mRNA.	G0/1 arrest	Eif2s3x
ENSG00000117643	NM_020379	MAN1C1	57134	HMIC, MAN1C, MAN1A3, pp6318	mannosidase, alpha, class 1C, member 1 (MAN1C1), mRNA.	G0/1 arrest	Man1c1
ENSG00000128791	NM_020648	TWSG1	57045	TSG	twisted gastrulation homolog 1 (Drosophila) (TWSG1), mRNA.	G0/1 arrest	Twsg1
ENSG00000115053	NM_005381	NCL	4691	C23, FLJ45706	nucleolin (NCL), mRNA.	G0/1 arrest	Ncl
ENSG00000013275	NM_006503	PSMC4	5704	S6, TBP7, MIP224, MGC8570, MGC13687,MGC23214	proteasome (prosome, macropain) 26S subunit, ATPase, 4 (PSMC4), transcript variant 1, mRNA.	G0/1 arrest	Psmc4
ENSG00000112472	NM_021976	RXRB	6257	NR2B2, DAUDI6, RCoR-1, MGC1831, H-2RIIBP	retinoid X receptor, beta (RXRB), mRNA.	G0/1 arrest	Rxrb
ENSG00000085719	NM_003909	CPNE3	8895	CPN3, PRO1071, KIAA0636	copine III (CPNE3), mRNA.	G0/1 arrest	Cpne3
ENSG00000172057	NM_139280	ORMDL3	94103		ORM1-like 3 (S. cerevisiae) (ORMDL3), mRNA.	G0/1 arrest	Ormdl3
ENSG00000144426	NM_198945	NBEAL1	65065	A530083I02Rik, ALS2CR17	neurobeachin-like 1	G0/1 arrest	Nbeal1
ENSG00000104472	NM_017444	CHRAC1	54108	YCL1, CHARC1, CHARC15, CHRAC15	chromatin accessibility complex 1 (CHRAC1), mRNA.	G0/1 arrest	Chrac1
ENSG00000180957	NM_012399	PITPNB	23760	VIB1B, PtdInsTP, PI-TP-beta	phosphatidylinositol transfer protein, beta (PITPNB), mRNA.	G0/1 arrest	Pitpnb
ENSG00000133195	NM_139177	SLC39A11	201266	C17orf26	solute carrier family 39 (metal ion transporter), member 11 (SLC39A11), mRNA.	G0/1 arrest	Slc39a11
ENSG00000117289	NM_006472	TXNIP	10628	THIF, VDUP1, HHCPA78, EST01027	thioredoxin interacting protein (TXNIP), mRNA.	G0/1 arrest	Txnip
ENSG00000134020	NM_144962	PEBP4	157310	CORK1, CORK-1, PRO4408, GWTM1933,MGC22776	phosphatidylethanolamine-binding protein 4 (PEBP4), mRNA.	G0/1 arrest	Pebp4
ENSG00000152779	NM_213606	SLC16A12	387700	MCT12	solute carrier family 16, member 12 (monocarboxylic acid transporter 12) (SLC16A12), mRNA.	G0/1 arrest	Slc16a12
ENSG00000128849	NM_032866	CGNL1	84952	JACOP, FLJ14957, KIAA1749	cingulin-like 1 (CGNL1), mRNA.	G0/1 arrest	Cgnl1
ENSG00000159377	NM_002796	PSMB4	5692	HN3, HsN3, PROS26	proteasome (prosome, macropain) subunit, beta type, 4 (PSMB4), mRNA.	G2 arrest	Psmb4
ENSG00000133704	NM_006390	IPO7	10526	RANBP8, FLJ26580, IPO8	importin 8 (IPO8), mRNA.	G2 arrest	Ipo7
ENSG00000008018	NM_002793	PSMB1	5689	HC5, PSC5, PMSB1, FLJ25321, KIAA1838	proteasome (prosome, macropain) subunit, beta type, 1 (PSMB1), mRNA.	G2 arrest	Psmb1
ENSG00000108294	NM_002795	PSMB3	5691	HC10-II, MGC4147	proteasome (prosome, macropain) subunit, beta type, 3 (PSMB3), mRNA.	G2 arrest	Psmb3
ENSG00000151065	NM_152640	DCP1B	196513	DCP1, hDcp1b	DCP1 decapping enzyme homolog B (S. cerevisiae) (DCP1B), mRNA.	G2 arrest	Dcp1b
ENSG00000125611	NM_032309	CHCHD5	84269	C2orf9, FLJ39671, MGC11104	coiled-coil-helix-coiled-coil-helix domain containing 5 (CHCHD5), mRNA.	G2 arrest	Chchd5
ENSG00000154518	NM_001689	ATP5G3	518	P3, MGC125738	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C3 (subunit 9) (ATP5G3), nuclear gene encoding mitochondrial protein, transcript variant 2, mRNA.	G2 arrest	Atp5g3
ENSG00000176871	NM_018639	WSB2	55884	SBA2, MGC10210	WD repeat and SOCS box-containing 2 (WSB2), mRNA.	G2 arrest	Wsb2
ENSG00000103404	NM_020718	USP31	57478	KIAA1203	ubiquitin specific peptidase 31 (USP31), mRNA.	G2 arrest	Usp31
ENSG00000171960	NM_006347	PPIH	10465	CYPH, CYP-20, MGC5016, USA-CYP,SnuCyp-20	peptidylprolyl isomerase H (cyclophilin H) (PPIH), mRNA.	G2 arrest	Ppih
ENSG00000105193	NM_001020	RPS16	6217		ribosomal protein S16 (RPS16), mRNA.	G2 arrest	Rps16
ENSG00000101115	NM_020436	SALL4	57167	DRRS, HSAL4, ZNF797, MGC133050,dJ1112F19.1	sal-like 4 (Drosophila) (SALL4), mRNA.	G2 arrest	Sall4
ENSG00000100285	NM_021076	NEFH	4744	NFH	neurofilament, heavy polypeptide 200kDa (NEFH), mRNA.	G2 arrest	Nefh
ENSG00000126067	NM_002794	PSMB2	5690	HC7-I, MGC104215, MGC126885	proteasome (prosome, macropain) subunit, beta type, 2 (PSMB2), mRNA.	G2 arrest	Psmb2
ENSG00000198211	NM_002386,NM_006086	MC1R	4157	MSH-R, MGC14337	melanocortin 1 receptor (alpha melanocyte stimulating hormone receptor) (MC1R), mRNA.	G2 arrest	Mc1r
ENSG00000143476	NM_016448	DTL	51514	L2DTL, RAMP	denticleless homolog (Drosophila) (DTL), mRNA.	G2 arrest	Dtl
ENSG00000115956	NM_002664	PLEK	5341	P47, FLJ27168	pleckstrin (PLEK), mRNA.	G2 arrest	Plek
ENSG00000135960	NM_022336	EDAR	10913	DL, ED3, ED5, ED1R, EDA3, EDA1R, EDA-A1R	ectodysplasin A receptor (EDAR), mRNA.	G2 arrest	Edar
ENSG00000101182	NM_002792	PSMA7	5688	C6, HSPC, RC6-1, XAPC7, MGC3755	proteasome (prosome, macropain) subunit, alpha type, 7 (PSMA7), mRNA.	G2 arrest	Psma7
ENSG00000100567	NM_002788	PSMA3	5684	HC8, PSC3, MGC12306, MGC32631	proteasome (prosome, macropain) subunit, alpha type, 3 (PSMA3), transcript variant 1, mRNA.	G2 arrest	Psma3
ENSG00000094804	NM_001254	CDC6	990	CDC18L, HsCDC6, HsCDC18	CDC6 cell division cycle 6 homolog (S. cerevisiae) (CDC6), mRNA.	G2 arrest	Cdc6
ENSG00000129084	NM_002786,NM_148976	PSMA1	5682	NU, HC2, PROS30, MGC1667, MGC14542,MGC14575, MGC14751, MGC21459, MGC22853, MGC23915	proteasome (prosome, macropain) subunit, alpha type, 1 (PSMA1), transcript variant 2, mRNA.	G2 arrest	Psma1
ENSG00000100902	NM_002791	PSMA6	5687	IOTA, p27K, PROS27, MGC2333, MGC22756,MGC23846	proteasome (prosome, macropain) subunit, alpha type, 6 (PSMA6), mRNA.	G2 arrest	Psma6
ENSG00000100804	NM_002797	PSMB5	5693	X, MB1, LMPX, MGC104214	proteasome (prosome, macropain) subunit, beta type, 5 (PSMB5), mRNA.	G2 arrest	Psmb5
ENSG00000142507	NM_002798	PSMB6	5694	Y, LMPY, DELTA, MGC5169	proteasome (prosome, macropain) subunit, beta type, 6 (PSMB6), mRNA.	G2 arrest	Psmb6
ENSG00000189091	NM_012426	SF3B3	23450	RSE1, SAP130, SF3b130, STAF130, KIAA0017	splicing factor 3b, subunit 3, 130kDa (SF3B3), mRNA.	G2 arrest	Sf3b3
ENSG00000149923	NM_002720	PPP4C	5531	PP4, PPX, PPH3	protein phosphatase 4 (formerly X), catalytic subunit (PPP4C), mRNA.	G2 arrest	Ppp4c
ENSG00000103187	NM_021149	COTL1	23406	CLP, FLJ43657, MGC19733	coactosin-like 1 (Dictyostelium) (COTL1), mRNA.	G2 arrest	Cotl1
ENSG00000090889	NM_012310	KIF4A	24137	KIF4, KIF4-G1, FLJ12530, FLJ12655,FLJ14204, FLJ20631, HSA271784	kinesin family member 4A (KIF4A), mRNA.	G2 arrest	Kif4
ENSG00000122026	NM_000982	RPL21	6144	 	ribosomal protein L21	S arrest	Rpl21
ENSG00000105372	NM_001022	RPS19	6223	DBA	ribosomal protein S19 (RPS19), mRNA.	S arrest	Rps19
ENSG00000143947	NM_002954	RPS27A	6233	CEP80, UBA80, UBCEP1, HUBCEP80	ribosomal protein S27a (RPS27A), mRNA.	S arrest	Rps27a
ENSG00000112306	NM_001016	RPS12	6206		ribosomal protein S12 (RPS12), mRNA.	S arrest	Rps12
ENSG00000147604	NM_000971	RPL7	6129	humL7-1	ribosomal protein L7 (RPL7), mRNA.	S arrest	Rpl7
ENSG00000142534	NM_001015	RPS11	6205		ribosomal protein S11 (RPS11), mRNA.	S arrest	Rps11
ENSG00000100479	NM_002692	POLE2	5427	DPE2	polymerase (DNA directed), epsilon 2 (p59 subunit) (POLE2), mRNA.	S arrest	Pole2
ENSG00000141646	NM_005359	SMAD4	4089	JIP, DPC4, MADH4	SMAD, mothers against DPP homolog 4 (Drosophila) (SMAD4), mRNA.	S arrest	Smad4
ENSG00000137154	NM_001010	RPS6	6194		ribosomal protein S6 (RPS6), mRNA.	S arrest	Rps6
ENSG00000178896	NM_019037	EXOSC4	54512	SKI6, p12A, RRP41, Ski6p, RRP41A, Rrp41p,hRrp41p, FLJ20591	exosome component 4 (EXOSC4), mRNA.	S arrest	Exosc4
ENSG00000149273	NM_001005	RPS3	6188	FLJ26283, FLJ27450, MGC87870	ribosomal protein S3 (RPS3), mRNA.	S arrest	Rps3
ENSG00000132646	NM_002592	PCNA	5111	MGC8367	proliferating cell nuclear antigen (PCNA), transcript variant 1, mRNA.	S arrest	Pcna
ENSG00000196966	NM_003532	HIST1H3E	8353	H3.1, H3/d, H3FD	histone 1, H3e (HIST1H3E), mRNA.	S arrest	Hist1h3h
ENSG00000115685	NM_002712	PPP1R7	5510	SDS22	protein phosphatase 1, regulatory subunit 7 (PPP1R7), mRNA.	S arrest	Ppp1r7
ENSG00000010818	NM_006734	HIVEP2	3097	MBP-2, MIBP1, HIV-EP2	human immunodeficiency virus type I enhancer binding protein 2 (HIVEP2), mRNA.	S arrest	Hivep2
ENSG00000177084	NM_006231	POLE	5426	POLE1, FLJ21434, DKFZp434F222	polymerase (DNA directed), epsilon (POLE), mRNA.	S arrest	Pole
ENSG00000165934	NM_017437	CPSF2	53981	CPSF100, KIAA1367	cleavage and polyadenylation specific factor 2, 100kDa (CPSF2), mRNA.	S arrest	Cpsf2
ENSG00000163950	NM_006527	SLBP	7884	HBP	stem-loop (histone) binding protein (SLBP), mRNA.	S arrest	Slbp
ENSG00000100316	NM_000967	RPL3	6122	TARBP-B, MGC104284	ribosomal protein L3 (RPL3), transcript variant 1, mRNA.	S arrest	Rpl3
ENSG00000092531	NM_003825,NM_130798	SNAP23	8773	SNAP23A, SNAP23B, HsT17016	synaptosomal-associated protein, 23kDa (SNAP23), transcript variant 1, mRNA.	S arrest	Snap23
ENSG00000105648	NM_006332	IFI30	10437	GILT, IP30, IFI-30, MGC32056	interferon, gamma-inducible protein 30 (IFI30), mRNA.	S arrest	Ifi30
ENSG00000162521	NM_005610	RBBP4	5928	NURF55, RBAP48	retinoblastoma binding protein 4 (RBBP4), mRNA.	S arrest	Rbbp4
ENSG00000071082	NM_000993	RPL31	6160	MGC88191	ribosomal protein L31 (RPL31), mRNA.	S arrest	Rpl31
ENSG00000163605	NM_174907	PPP4R2	151987	MGC131930	protein phosphatase 4, regulatory subunit 2 (PPP4R2), mRNA.	S arrest	Ppp4r2
ENSG00000112149	NM_001040280	CD83	9308	BL11, HB15	CD83 molecule (CD83), transcript variant 2, mRNA.	S arrest	Cd83
ENSG00000105640	NM_000980	RPL18A	6142		ribosomal protein L18a	S arrest	Rpl18a
ENSG00000188873	NM_007104	RPL10A	4736	NEDD6, Csa-19	ribosomal protein L10a (RPL10A), mRNA.	S arrest	Rpl10a
ENSG00000125743	NM_177542	SNRPD2	6633	SMD2, SNRPD1	small nuclear ribonucleoprotein D2 polypeptide 16.5kDa (SNRPD2), transcript variant 2, mRNA.	S arrest	Snrpd2
ENSG00000131469	NM_000988	RPL27	6155		ribosomal protein L27 (RPL27), mRNA.	S arrest	Rpl27
ENSG00000118412	NM_012115	CASP8AP2	9994	CED-4, FLASH, RIP25, FLJ11208, KIAA1315	CASP8 associated protein 2 (CASP8AP2), mRNA.	S arrest	Casp8ap2
ENSG00000144893	NM_053002	MED12L	116931	NOPAR, TRALP, TNRC11L, FLJ46288,KIAA1635, TRALPUSH	mediator of RNA polymerase II transcription, subunit 12 homolog (S. cerevisiae)-like (MED12L), mRNA.	S arrest	Med12l
ENSG00000151611	NM_172250	MMAA	166785	MGC120010, MGC120011, MGC120012,MGC120013	methylmalonic aciduria (cobalamin deficiency) cblA type (MMAA), mRNA.	S arrest	Mmaa
ENSG00000138442	NM_018256	WDR12	55759	YTM1, FLJ10881, FLJ12719, FLJ12720	WD repeat domain 12 (WDR12), mRNA.	S arrest	Wdr12
ENSG00000138326	NM_033022	RPS24	6229	DKFZp686N1586	ribosomal protein S24 (RPS24), transcript variant 1, mRNA.	S arrest	Rps24
ENSG00000149586	NM_000990	RPL27A	6157	MGC87238	ribosomal protein L27a (RPL27A), mRNA.	S arrest	Rpl27a
ENSG00000177700	NM_021128	POLR2L	5441	RBP10, RPB10, RPABC5, RPB7.6, hRPB7.6,hsRPB10b, RPB10beta	polymerase (RNA) II (DNA directed) polypeptide L, 7.6kDa (POLR2L), mRNA.	S arrest	Polr2l
ENSG00000167325	NM_001033	RRM1	6240	R1, RR1, RIR1	ribonucleotide reductase M1 polypeptide (RRM1), mRNA.	S arrest	Rrm1
ENSG00000149554	NM_001274	CHEK1	1111	CHK1	CHK1 checkpoint homolog (S. pombe) (CHEK1), mRNA.	S arrest	Chek1
ENSG00000171848	NM_001034	RRM2	6241	R2, RR2M	ribonucleotide reductase M2 polypeptide (RRM2), mRNA.	S arrest	Rrm2
ENSG00000178458	NM_003534	HIST1H3G	8355	H3/h, H3FH	histone 1, H3g (HIST1H3G), mRNA.	S arrest	Hist2h3c2
ENSG00000165494	NM_015885	PCF11	51585	KIAA0824	PCF11, cleavage and polyadenylation factor subunit, homolog (S. cerevisiae) (PCF11), mRNA.	S arrest	Pcf11
ENSG00000124693	NM_003537	HIST1H3B	8358	H3/l, H3FL	histone 1, H3b (HIST1H3B), mRNA.	S arrest	Hist2h3b
ENSG00000089157	NM_053275	RPLP0	6175	P0, L10E, RPP0, PRLP0, MGC88175,MGC111226	ribosomal protein, large, P0 (RPLP0), transcript variant 2, mRNA.	S arrest	Rplp0
ENSG00000006717	NM_003333	UBA52	7311	CEP52, RPL40, HUBCEP52, MGC57125,MGC126879, MGC126881	ubiquitin A-52 residue ribosomal protein fusion product 1 (UBA52), transcript variant 2, mRNA.	S arrest	Gm7866
ENSG00000149308	NM_002519	NPAT	4863	E14	nuclear protein, ataxia-telangiectasia locus (NPAT), mRNA.	S arrest	Npat
ENSG00000125691	NM_000978	RPL23	9349	rpL17, MGC72008, MGC111167, MGC117346	ribosomal protein L23 (RPL23), mRNA.	S arrest	Rpl23
ENSG00000142676	NM_000975	RPL11	6135		ribosomal protein L11 (RPL11), mRNA.	S arrest	Rpl11
ENSG00000125385	NM_001032,NM_001030001	RPS29	6235		ribosomal protein S29 (RPS29), transcript variant 1, mRNA.	S arrest	Rps29
ENSG00000167986	NM_001923	DDB1	1642	XPE, DDBA, XAP1, XPCE, XPE-BF, UV-DDB1	damage-specific DNA binding protein 1, 127kDa (DDB1), mRNA.	S arrest	Ddb1
ENSG00000099817	NM_002695	POLR2E	5434	RPB5, XAP4, RPABC1, hRPB25, hsRPB5	polymerase (RNA) II (DNA directed) polypeptide E, 25kDa (POLR2E), mRNA.	S arrest	Polr2e
ENSG00000164162	NM_014885	ANAPC10	10393	DOC1, APC10, DKFZP564L0562	anaphase promoting complex subunit 10 (ANAPC10), mRNA.	S arrest	Anapc10
ENSG00000142541	NM_012423	RPL13A	23521		ribosomal protein L13a (RPL13A), mRNA.	S arrest	Rpl13a
ENSG00000167670	NM_005483	CHAF1A	10036	CAF1, P150, CAF-1, CAF1B, CAF1P150,MGC71229	chromatin assembly factor 1, subunit A (p150) (CHAF1A), mRNA.	S arrest	Chaf1a
ENSG00000161016	NM_033301	RPL8	6132		ribosomal protein L8 (RPL8), transcript variant 2, mRNA.	S arrest	Rpl8
ENSG00000155561	NM_015135	NUP205	23165	C7orf14	nucleoporin 205kDa (NUP205), mRNA.	S arrest	Nup205
ENSG00000132341	NM_006325	RAN	5901	TC4, Gsp1, ARA24	RAN, member RAS oncogene family (RAN), mRNA.	S arrest	Ran
ENSG00000063177	NM_000979	RPL18	6141		ribosomal protein L18 (RPL18), mRNA.	S arrest	Rpl18
ENSG00000182899	NM_000996	RPL35A	6165		ribosomal protein L35a (RPL35A), mRNA.	S arrest	Rpl35a
ENSG00000132383	NM_002945	RPA1	6117	HSSB, RF-A, RP-A, REPA1, RPA70	replication protein A1, 70kDa (RPA1), mRNA.	S arrest	Rpa1
ENSG00000142937	NM_001012	RPS8	6202		ribosomal protein S8 (RPS8), mRNA.	S arrest	Rps8
ENSG00000124642	NM_021065	HIST1H3D	3013	H2A.3, H2A/g, H2AFG, HIST1H2AD	histone 1, H2ad (HIST1H2AD), mRNA.	S arrest	Hist1h3a
ENSG00000144231	NM_004805	POLR2D	5433	RBP4, HSRBP4, HSRPB4	polymerase (RNA) II (DNA directed) polypeptide D (POLR2D), mRNA.	S arrest	Polr2d
ENSG00000183598	XM_497711,XM_496408	HIST2H3C	653604	LOC653604	PREDICTED: similar to H3 histone, family 2 isoform 2 (LOC653604), mRNA.	S arrest	H3f3c
ENSG00000144713	NM_001007074	RPL32	6161	PP9932	ribosomal protein L32 (RPL32), transcript variant 3, mRNA.	S arrest	Rpl32l
ENSG00000114391	NM_000986	RPL24	6152		ribosomal protein L24 (RPL24), mRNA.	S arrest	Rpl24
ENSG00000172809	NM_001035258	RPL38	6169		ribosomal protein L38 (RPL38), transcript variant 2, mRNA.	S arrest	Rpl38
ENSG00000197728	NM_001029	RPS26	6231	MGC104292	ribosomal protein S26 (RPS26), mRNA.	S arrest	Rps26
ENSG00000115268	NM_001018	RPS15	6209	RIG, MGC111130	ribosomal protein S15 (RPS15), mRNA.	S arrest	Rps15
ENSG00000008988	NM_001023	RPS20	6224	FLJ27451, MGC102930	ribosomal protein S20 (RPS20), mRNA.	S arrest	Rps20
ENSG00000174444	NM_000968	RPL4	6124		ribosomal protein L4 (RPL4), mRNA.	S arrest	Rpl4
ENSG00000166483	NM_003390	WEE1	7465	WEE1hu, FLJ16446, DKFZp686I18166	WEE1 homolog (S. pombe) (WEE1), mRNA.	S arrest	Wee1
ENSG00000103733	NM_004644	AP3B2	8120	NAPTB, DKFZp686D17136	adaptor-related protein complex 3, beta 2 subunit (AP3B2), mRNA.	S arrest	Ap3b2
ENSG00000171863	NM_001011	RPS7	6201		ribosomal protein S7 (RPS7), mRNA.	S arrest	Rps7
ENSG00000083845	NM_001009	RPS5	6193		ribosomal protein S5 (RPS5), mRNA.	S arrest	Rps5
ENSG00000117748	NM_002946	RPA2	6118	REPA2, RPA32	replication protein A2, 32kDa (RPA2), mRNA.	S arrest	Rpa2
ENSG00000108424	NM_002265	KPNB1	3837	IMB1, IPOB, Impnb, NTF97, MGC2155,MGC2156, MGC2157	karyopherin (importin) beta 1 (KPNB1), mRNA.	S arrest	Kpnb1
ENSG00000156482	NM_000989	RPL30	6156		ribosomal protein L30 (RPL30), mRNA.	S arrest	Rpl30
ENSG00000091409	NM_000210	ITGA6	3655	CD49f	integrin, alpha 6 (ITGA6), mRNA.	S arrest	Itga6
ENSG00000102978	NM_032940	POLR2C	5432	RPB3, RPB31, hRPB33, hsRPB3	polymerase (RNA) II (DNA directed) polypeptide C, 33kDa (POLR2C), mRNA.	S arrest	Polr2c
ENSG00000080503	NM_139045,NM_003070	SMARCA2	6595	BRM, hBRM, Sth1p, BAF190, SNF2L2, SNF2LA,hSNF2a, FLJ36757, MGC74511	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2 (SMARCA2), transcript variant 2, mRNA.	S arrest	Smarca2
ENSG00000108395	NM_015294	TRIM37	4591	MUL, POB1, TEF3, KIAA0898	tripartite motif-containing 37 (TRIM37), transcript variant 1, mRNA.	S arrest	Trim37
ENSG00000163781	NM_007027	TOPBP1	11073	TOP2BP1	topoisomerase (DNA) II binding protein 1 (TOPBP1), mRNA.	S arrest	Topbp1
ENSG00000089009	NM_000970	RPL6	6128	TXREB1, SHUJUN-2, TAXREB107	ribosomal protein L6 (RPL6), transcript variant 2, mRNA.	S arrest	Rpl6l
ENSG00000135480	NM_005556	KRT7	3855	K7, CK7, SCL, K2C7, MGC3625, MGC129731	keratin 7 (KRT7), mRNA.	S arrest	Krt7
ENSG00000142684	NM_015871	ZNF593	51042	ZT86	zinc finger protein 593 (ZNF593), mRNA.	S arrest	Zfp593
ENSG00000148303	NM_000972	RPL7A	6130	TRUP, SURF3	ribosomal protein L7a (RPL7A), mRNA.	S arrest	Rpl7a
ENSG00000104064	NM_016654,NM_016655	GABPB2	2553	E4TF1, GABPB, BABPB2, E4TF1B, GABPB1,NRF2B1, NRF2B2, E4TF1-47, E4TF1-53	GA binding protein transcription factor, beta subunit 2 (GABPB2), transcript variant beta-2, mRNA.	S arrest	Gabpb2
ENSG00000173027	NM_012477	WBP1	23559	WBP-1, MGC15305	WW domain binding protein 1 (WBP1), mRNA.	S arrest	Wbp1
ENSG00000141655	NM_003839	TNFRSF11A	8792	OFE, ODFR, RANK, CD265, TRANCER	tumor necrosis factor receptor superfamily, member 11a, NFKB activator (TNFRSF11A), mRNA.	Cell division defect	Tnfrsf11a
ENSG00000123636	NM_013450	BAZ2B	29994	WALp4, FLJ45644, DKFZP434H071,DKFZp762I0516	bromodomain adjacent to zinc finger domain, 2B (BAZ2B), mRNA.	Cell division defect	Baz2b
ENSG00000156738	NM_021950	MS4A1	931	B1, S7, Bp35, CD20, MS4A2, LEU-16,MGC3969	membrane-spanning 4-domains, subfamily A, member 1 (MS4A1), transcript variant 3, mRNA.	Cell division defect	Ms4a1
ENSG00000137944	NM_001008661,NM_019610	RBMX	56267	RBM1, RP11-82K18.3, RP4-531M19.2, KAT3	kynurenine aminotransferase III (KAT3), transcript variant 1, mRNA.	Cell division defect	Rbmx
